index.md -> portal/conditions/ [resolved: portal/conditions/index.md]
answer-guides/afternoon-energy-crash-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/arm-numbness-without-shoulder-pain-guide.md -> ../conditions/hand-numbness.md [resolved: conditions/hand-numbness.md]
answer-guides/back-stiff-after-sitting-guide.md -> ../conditions/leg-numbness.md [resolved: conditions/leg-numbness.md]
answer-guides/brain-fog-focus-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/buttock-to-leg-pulling-guide.md -> ../conditions/leg-numbness.md [resolved: conditions/leg-numbness.md]
answer-guides/calf-cramp-guide.md -> ../conditions/leg-numbness.md [resolved: conditions/leg-numbness.md]
answer-guides/chest-tightness-normal-tests-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/chest-tightness-normal-tests-guide.md -> ../conditions/globus-sensation.md [resolved: conditions/globus-sensation.md]
answer-guides/cold-and-numb-hands-feet-guide.md -> ../conditions/hand-numbness.md [resolved: conditions/hand-numbness.md]
answer-guides/cold-and-numb-hands-feet-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/cold-hands-feet-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/delayed-lowback-pain-after-accident-guide.md -> ../conditions/leg-numbness.md [resolved: conditions/leg-numbness.md]
answer-guides/dialect-symptom-search-map.md -> ../conditions/leg-numbness.md [resolved: conditions/leg-numbness.md]
answer-guides/dialect-symptom-search-map.md -> ../conditions/globus-sensation.md [resolved: conditions/globus-sensation.md]
answer-guides/dizzy-after-meal-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/ear-fullness-normal-ent-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/evening-leg-swelling-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/facial-twitch-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/finger-color-change-cold-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/finger-color-change-cold-guide.md -> ../conditions/hand-numbness.md [resolved: conditions/hand-numbness.md]
answer-guides/forgetful-low-focus-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/frequent-colds-child-tonic-guide.md -> ../conditions/pediatric-tonic.md [resolved: conditions/pediatric-tonic.md]
answer-guides/front-neck-tightness-guide.md -> ../conditions/globus-sensation.md [resolved: conditions/globus-sensation.md]
answer-guides/front-neck-tightness-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/hand-tremor-stress-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/headache-dizziness-after-accident-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/incomplete-emptying-guide.md -> ../conditions/prostate-urinary.md [resolved: conditions/prostate-urinary.md]
answer-guides/incomplete-emptying-guide.md -> ../conditions/chronic-pain.md [resolved: conditions/chronic-pain.md]
answer-guides/knee-clicking-guide.md -> ../conditions/leg-numbness.md [resolved: conditions/leg-numbness.md]
answer-guides/leg-numbness-without-back-pain-guide.md -> ../conditions/leg-numbness.md [resolved: conditions/leg-numbness.md]
answer-guides/lighter-period-guide.md -> ../conditions/womens-lifecycle.md [resolved: conditions/womens-lifecycle.md]
answer-guides/menopause-heat-sleep-guide.md -> ../conditions/womens-lifecycle.md [resolved: conditions/womens-lifecycle.md]
answer-guides/morning-hand-swelling-guide.md -> ../conditions/hand-numbness.md [resolved: conditions/hand-numbness.md]
answer-guides/night-appetite-guide.md -> ../conditions/anorexia.md [resolved: conditions/anorexia.md]
answer-guides/night-appetite-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/no-appetite-in-morning-guide.md -> ../conditions/anorexia.md [resolved: conditions/anorexia.md]
answer-guides/no-appetite-in-morning-guide.md -> ../conditions/globus-sensation.md [resolved: conditions/globus-sensation.md]
answer-guides/nocturia-guide.md -> ../conditions/prostate-urinary.md [resolved: conditions/prostate-urinary.md]
answer-guides/normal-tests-persistent-fatigue-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/one-cold-foot-guide.md -> ../conditions/leg-numbness.md [resolved: conditions/leg-numbness.md]
answer-guides/palpitations-at-rest-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/perineal-heaviness-guide.md -> ../conditions/prostate-urinary.md [resolved: conditions/prostate-urinary.md]
answer-guides/perineal-heaviness-guide.md -> ../conditions/autonomic-dysfunction.md [resolved: conditions/autonomic-dysfunction.md]
answer-guides/period-pain-worsening-guide.md -> ../conditions/womens-lifecycle.md [resolved: conditions/womens-lifecycle.md]
answer-guides/pms-headache-swelling-guide.md -> ../conditions/womens-lifecycle.md [resolved: conditions/womens-lifecycle.md]
answer-guides/poor-appetite-slow-growth-guide.md -> ../conditions/anorexia.md [resolved: conditions/anorexia.md]
answer-guides/poor-appetite-slow-growth-guide.md -> ../conditions/pediatric-tonic.md [resolved: conditions/pediatric-tonic.md]
