"score"	"kind"	"path"	"body_chars"	"headings"	"internal_links"	"reasons"
"7"	"content"	"acupuncture/extraordinary/index.md"	"221"	"2"	"9"	"very short; few sections"
"7"	"content"	"acupuncture/meridians/index.md"	"301"	"2"	"13"	"very short; few sections"
"7"	"content"	"acupuncture-clinical/index.md"	"343"	"1"	"4"	"very short; few sections"
"7"	"content"	"acupuncture-clinical/modality-comparison.md"	"439"	"2"	"3"	"very short; few sections"
"7"	"content"	"acupuncture-integrated/index.md"	"405"	"1"	"7"	"very short; few sections"
"7"	"content"	"acupuncture-integrated/modalities.md"	"356"	"2"	"4"	"very short; few sections"
"7"	"content"	"answer-guides/dialect-content-policy.md"	"494"	"4"	"0"	"very short; few links"
"7"	"content"	"answer-guides/heel-first-step-pain-guide.md"	"322"	"6"	"1"	"very short; few links"
"7"	"content"	"authority/conditions/index.md"	"345"	"2"	"6"	"very short; few sections"
"7"	"content"	"authority/herbs/index.md"	"300"	"1"	"8"	"very short; few sections"
"7"	"content"	"autonomic/fatigue-recovery.md"	"311"	"2"	"4"	"very short; few sections"
"7"	"content"	"autonomic/index.md"	"407"	"1"	"8"	"very short; few sections"
"7"	"content"	"autonomic/integrated-map.md"	"383"	"1"	"3"	"very short; few sections"
"7"	"content"	"autonomic/palpitations.md"	"348"	"2"	"5"	"very short; few sections"
"7"	"content"	"autonomic/stress-digestion.md"	"354"	"2"	"6"	"very short; few sections"
"7"	"content"	"autonomic/stress-sleep.md"	"355"	"2"	"7"	"very short; few sections"
"7"	"content"	"bangyakhappyeon-network/boncho-yakseongga.md"	"289"	"2"	"3"	"very short; few sections"
"7"	"content"	"bangyakhappyeon-network/clinical-navigation.md"	"285"	"2"	"3"	"very short; few sections"
"7"	"content"	"bangyakhappyeon-network/donguibogam-comparison.md"	"353"	"2"	"3"	"very short; few sections"
"7"	"content"	"bangyakhappyeon-network/index.md"	"360"	"1"	"6"	"very short; few sections"
"7"	"content"	"bangyakhappyeon-network/integrated-map.md"	"283"	"2"	"3"	"very short; few sections"
"7"	"content"	"bangyakhappyeon-network/sang-jung-ha.md"	"334"	"2"	"3"	"very short; few sections"
"7"	"content"	"bangyakhappyeon-network/seven-formulas-ten-agents.md"	"300"	"2"	"3"	"very short; few sections"
"7"	"content"	"bangyakhappyeon-network/what-is-bangyakhappyeon.md"	"305"	"2"	"3"	"very short; few sections"
"7"	"content"	"classics/shanghanlun.md"	"281"	"4"	"1"	"very short; few links"
"7"	"content"	"classics-network/donguibogam.md"	"287"	"2"	"4"	"very short; few sections"
"7"	"content"	"classics-network/donguisusebowon.md"	"307"	"2"	"4"	"very short; few sections"
"7"	"content"	"classics-network/huangdi-neijing.md"	"298"	"2"	"4"	"very short; few sections"
"7"	"content"	"classics-network/index.md"	"355"	"1"	"7"	"very short; few sections"
"7"	"content"	"classics-network/integrated-map.md"	"308"	"1"	"5"	"very short; few sections"
"7"	"content"	"classics-network/jingui-yaolue.md"	"302"	"2"	"5"	"very short; few sections"
"7"	"content"	"classics-network/shanghan-lun.md"	"304"	"2"	"4"	"very short; few sections"
"7"	"content"	"clinical-reasoning/index.md"	"372"	"1"	"9"	"very short; few sections"
"7"	"content"	"clinical-reasoning/integrated-map.md"	"477"	"2"	"3"	"very short; few sections"
"7"	"content"	"clinical-safety/digestive-red-flags.md"	"415"	"2"	"5"	"very short; few sections"
"7"	"content"	"clinical-safety/index.md"	"438"	"1"	"7"	"very short; few sections"
"7"	"content"	"compare/acupuncture-vs-electroacupuncture.md"	"281"	"1"	"4"	"very short; few sections"
"7"	"content"	"compare/acupuncture-vs-pharmacopuncture.md"	"285"	"1"	"3"	"very short; few sections"
"7"	"content"	"compare/buzhong-vs-sipjeondaebo.md"	"353"	"1"	"4"	"very short; few sections"
"7"	"content"	"compare/gongjin-vs-gyeongok.md"	"409"	"1"	"5"	"very short; few sections"
"7"	"content"	"compare/guibi-vs-wendan.md"	"263"	"1"	"4"	"very short; few sections"
"7"	"content"	"compare/index.md"	"349"	"1"	"7"	"very short; few sections"
"7"	"content"	"compare/sijunzi-vs-liujunzi.md"	"341"	"1"	"4"	"very short; few sections"
"7"	"content"	"concepts/heart-spleen-deficiency.md"	"285"	"1"	"5"	"very short; few sections"
"7"	"content"	"concepts/index.md"	"413"	"1"	"8"	"very short; few sections"
"7"	"content"	"concepts/spleen-qi-sinking.md"	"267"	"1"	"5"	"very short; few sections"
"7"	"content"	"concepts/wind-cold-damp-bi.md"	"298"	"4"	"1"	"very short; few links"
"7"	"content"	"diagnostics/differentials/blood-stasis-vs-cold-damp-pain.md"	"338"	"2"	"2"	"very short; few sections"
"7"	"content"	"diagnostics/differentials/phlegm-vs-food-stagnation.md"	"266"	"2"	"2"	"very short; few sections"
"7"	"content"	"diagnostics/patterns/blood-stasis.md"	"303"	"5"	"1"	"very short; few links"
"7"	"content"	"diagnostics/patterns/cold-damp.md"	"272"	"5"	"1"	"very short; few links"
"7"	"content"	"diagnostics/patterns/kidney-deficiency.md"	"273"	"5"	"1"	"very short; few links"
"7"	"content"	"diagnostics/patterns/liver-qi-stagnation.md"	"287"	"5"	"1"	"very short; few links"
"7"	"content"	"diagnostics/patterns/qi-deficiency.md"	"277"	"5"	"1"	"very short; few links"
"7"	"content"	"donguibogam-network/chimgu.md"	"231"	"1"	"3"	"very short; few sections"
"7"	"content"	"donguibogam-network/clinical-navigation.md"	"376"	"2"	"4"	"very short; few sections"
"7"	"content"	"donguibogam-network/index.md"	"328"	"1"	"8"	"very short; few sections"
"7"	"content"	"donguibogam-network/integrated-map.md"	"292"	"1"	"4"	"very short; few sections"
"7"	"content"	"donguibogam-network/japbyeong.md"	"380"	"2"	"5"	"very short; few sections"
"7"	"content"	"donguibogam-network/naegyeong.md"	"344"	"2"	"4"	"very short; few sections"
"7"	"content"	"donguibogam-network/oehyeong.md"	"354"	"2"	"4"	"very short; few sections"
"7"	"content"	"donguibogam-network/tangaek.md"	"215"	"1"	"3"	"very short; few sections"
"7"	"content"	"donguibogam-network/yangsaeng-prevention.md"	"352"	"2"	"4"	"very short; few sections"
"7"	"content"	"donguisusebowon-network/exterior-interior-patterns.md"	"392"	"2"	"4"	"very short; few sections"
"7"	"content"	"donguisusebowon-network/four-constitutions.md"	"355"	"2"	"4"	"very short; few sections"
"7"	"content"	"donguisusebowon-network/index.md"	"452"	"1"	"8"	"very short; few sections"
"7"	"content"	"donguisusebowon-network/integrated-map.md"	"272"	"1"	"3"	"very short; few sections"
"7"	"content"	"donguisusebowon-network/lifestyle-emotion.md"	"268"	"1"	"3"	"very short; few sections"
"7"	"content"	"donguisusebowon-network/ordinary-symptoms-patterns.md"	"398"	"2"	"4"	"very short; few sections"
"7"	"content"	"donguisusebowon-network/seongmyeong-sadan.md"	"362"	"2"	"4"	"very short; few sections"
"7"	"content"	"donguisusebowon-network/treatment-principles.md"	"331"	"2"	"4"	"very short; few sections"
"7"	"content"	"donguisusebowon-network/zangbu-physiology.md"	"355"	"2"	"4"	"very short; few sections"
