entity_id,meridian_code,name_ko,name_zh,meridian,location_ko,location_en,method,needling,category
LU1,LU,중부,中府,수태음폐경,"앞가슴부위, 첫째 갈비사이공간(the 1st intercostal space)과 같은 높이, 빗장아래오목(infraclavicular fossa)의 가쪽, 앞정중선(anterior median line)에서 가쪽으로 6寸.","On the anterior thoracic region, at the same level as the first intercostal space, lateral to the infraclavicular fossa, 6 B-cun lateral to the anterior median line.","먼저 雲門(LU2)을 정한 후, 雲門(LU2)에서 아래쪽으로 1寸이 되는 지점에서 취혈한다.","- 直刺 0.3～0.5寸

- 斜刺 0.5～1寸",acupoint
LU2,LU,운문,雲門,수태음폐경,"앞가슴부위, 빗장아래오목(infra- clavicular fossa), 어깨뼈 부리돌기(coracoid process) 안쪽, 앞정중선(anterior median line)에서 가쪽으로 6寸 오목한 곳.
※주 : 氣戶(ST13), 兪府(KI27), 璇璣(CV21), 雲門(LU2)은 빗장뼈아래선을 따라 가로선 위에 위치한다.","On the anterior thoracic region, in the depression of the infraclavicular fossa, medial to the coracoids process of the scapula, 6 B-cun lateral to the anterior median line.
Note 1: ST13, KI27, CV21 and LU2 are located on the transverse line along the inferior border of the clavicle.",저항을 준 상태에서 팔을 약간 굽히고 벌릴 때 나타나는 어깨세모-가슴 삼각부위(deltopectoral triangle)의 중심에 취혈한다.,"- 直刺 0.3～0.5寸 (不宜深刺, 刺太深時 氣逆)

- 斜刺 0.5～1寸",acupoint
LU3,LU,천부,天府,수태음폐경,"위팔 앞가쪽면, 위팔두갈래근(biceps brachiimuscle)의 가쪽모서리 바로 가쪽, 앞겨드랑주름(anterior axillary fold)에서 아래쪽으로 3寸.","On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 3 B-cun inferior to the anterior axillary fold.","앞겨드랑주름과 尺澤(LU5)을 연결하는 선에서 위쪽으로부터 1/3, 아래쪽으로부터 2/3가 되는 지점에서 취혈한다.","- 直刺 0.3～0.5寸

- 斜刺 1～1.5寸",acupoint
LU4,LU,협백,俠白,수태음폐경,"위팔 앞가쪽면, 위팔두갈래근(biceps brachii muscle)의 가쪽모서리 바로가쪽, 앞겨드랑주름(anterior axillary
fold)에서 아래쪽으로 4寸.","On the anterolateral aspect of the arm, just lateral to the border of the biceps brachii muscle, 4 B-cun inferior to the anterior axillary fold.",앞겨드랑주름과 尺澤(LU5)을 연결하는 선에서 위쪽으로부터 1/3과 아래쪽으로부터 2/3가 되는 지점에서 먼쪽으로 1寸에서 취혈한다.,"- 直刺 0.3～0.5寸

- 斜刺 1～1.5寸",acupoint
LU5,LU,척택,尺澤,수태음폐경,"팔꿈치 앞쪽면, 팔오금주름(cubital crease) 위, 위팔두갈래근힘줄(biceps brachii tendon)의 가쪽 오목한 곳.","On the anterior aspect of the elbow, at the cubital crease, in the depression lateral to the biceps brachii tendon.",팔꿈치를 굽힌 상태에서 팔오금주름 위의 曲池(LI11)와 曲澤(PC3) 사이에 위치한다. 위팔두갈래근힘줄에 의해 尺澤(LU5)과 曲澤(PC3)이 나뉜다.,"- 直刺 0.3～0.5寸

- 斜刺 0.5～1寸

- 淺靜脈을 點刺出血",acupoint
LU6,LU,공최,孔最,수태음폐경,"아래팔 앞가쪽면, 尺澤(LU5)과 太淵(LU9)을 연결하는 선 위, 손바닥쪽손목주름(palmar wrist crease)에서 위쪽으로 7寸.","On the anterolateral aspect of the forearm, on the line connecting LU5 with LU9, 7 B-cun superior to the palmar wrist crease.","팔을 펴고 손바닥을 위로 향하게 한 자세에서, 尺澤(LU5)과 太淵(LU9)을 연결하는 선의 중점에서 위쪽으로 1寸에서 취혈한다.","- 直刺 0.5～1寸 (留3呼)

- 斜刺 1～1.5寸",acupoint
LU7,LU,열결,缺,수태음폐경,"아래팔의 노쪽면, 긴엄지벌림근힘줄(abductor pollicis longus tendon)과 짧은엄지폄근힘줄(extensor pollicis brevis tendon)의 사이, 긴엄지벌림근힘줄 고랑(groove for the abductor pollicis longus tendon) 위, 손바닥쪽 손목주름(the palmar wrist crease)에서 위쪽으로 1.5寸.","On the radial aspect of the forearm, between the tendons of the abductor pollicis longus and the extensor pollicis brevis muscles, in the groove for the abductor pollicis longus tendon, 1.5 B-cun superior to the palmar wrist crease.",,"- 直刺 0.2～0.3寸

- 斜刺 0.5～1寸 (肘關節 방향으로 刺入)

- 협착성건초염 치료시에는 鍼尖을 外方으로 0.5～1寸 刺入",acupoint
LU8,LU,경거,經渠,수태음폐경,"아래팔 앞가쪽면, 노뼈붓돌기(radial styloid process)와 노동맥(radial artery)사이, 손바닥쪽 손목주름(palmar wrist crease)에서 위쪽으로 1寸.
※주 : 太淵(LU9)에서 위쪽으로 1寸에 위치한다.","On the anterolateral aspect of the forearm, between the radial styloid process and the radial artery, 1 B-cun superior to the palmar wrist crease.
Note: 1 B-cun superior to LU9.",,"- 直刺 0.2～0.3寸

- 斜刺 0.5～0.7寸

- 刺鍼時 노동맥(radial artery)을 피하여 刺入",acupoint
LU9,LU,태연,太淵,수태음폐경,"손목 앞가쪽면, 노뼈붓돌기(radial styloid process)와 손배뼈(scaphoid bone) 사이, 긴엄지벌림근힘줄(abductor pollicis longus tendon)의 자쪽 오목한 곳.","On the anterolateral aspect of the wrist, between the radial styloid process and the scaphoid bone, in the depression ulnar to the abductor pollicis longus tendon.","손바닥쪽 손목주름(palmar wrist crease)의 노쪽, 노동맥(radial artery)이 뛰는 곳에서 취혈한다.","- 直刺 0.2～0.3寸 (손바닥쪽에서 손등쪽을 향해 刺入)

- 斜刺 0.3～0.5寸",acupoint
LU10,LU,어제,魚際,수태음폐경,"손바닥, 첫째 손허리뼈(the 1st metacarpal bone) 중점의 노쪽, 赤白肉際.","On the palm, radial to the midpoint of the first metacarpal bone, at the border between the red and white flesh.","손바닥을 위로 하고, 손바닥 大魚際部位의 노쪽모서리(橈側緣) 중간지점에서 취혈한다.","- 直刺 0.3～0.5寸

- 斜刺 0.5～1寸 (鍼尖을 약간 斜向하여 掌內로 刺入)",acupoint
LU11,LU,소상,少商,수태음폐경,"엄지손가락, 끝마디뼈(distal phalanx)의 노쪽, 엄지손톱 노쪽 뿌리각(radial corner of the thumb nail)에서 몸가쪽으로 0.1寸.","On the thumb, radial to the distal Phalanx, 0.1 F-cun proximal-lateral to the radial corner of the thumb nail, at the intersection of the vertical line of the radial border and the horizontal line of the base of the thumb nail.",엄지손톱의 노쪽모서리를 지나는 수직선과 손톱뿌리를 지나는 수평선이 만나는 지점에서 취혈한다.,"- 直刺 0.1～0.2寸

- 斜刺 0.1～0.3寸 (鍼尖을 上方으로 향해 刺入)

- 三稜鍼으로 速刺해서 出血시키기도 한다.",acupoint
